--------- beginning of main
11-09 15:02:52.498 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1937, bufferIndex = 0.
11-09 15:02:52.499 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1938, bufferIndex = 0.
11-09 15:02:52.499 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 12, generation 25881602.
11-09 15:02:52.499 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 8, generation 25881602.
11-09 15:02:52.500 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1939, bufferIndex = 0.
11-09 15:02:52.524 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1940, bufferIndex = 0.
11-09 15:02:52.525 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 9, generation 25881602.
11-09 15:02:52.526 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 7, generation 25881602.
11-09 15:02:52.526 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 1, generation 25881602.
11-09 15:02:52.526 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1941, bufferIndex = 0.
11-09 15:02:52.845 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1942, bufferIndex = 0.
11-09 15:02:52.846 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 16, generation 25881602.
11-09 15:02:52.846 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1943, bufferIndex = 0.
11-09 15:02:52.847 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1944, bufferIndex = 0.
11-09 15:02:52.847 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 10, generation 25881602.
11-09 15:02:52.847 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 5, generation 25881602.
11-09 15:02:52.848 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 11, generation 25881602.
11-09 15:02:52.848 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1945, bufferIndex = 0.
11-09 15:02:52.860 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1946, bufferIndex = 0.
11-09 15:02:52.861 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 18, generation 25881602.
11-09 15:02:52.862 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1947, bufferIndex = 0.
11-09 15:02:53.112 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1948, bufferIndex = 0.
11-09 15:02:53.113 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 17, generation 25881602.
11-09 15:02:53.113 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1949, bufferIndex = 0.
11-09 15:02:53.114 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 15, generation 25881602.
11-09 15:02:53.114 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 19, generation 25881602.
11-09 15:02:53.114 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1950, bufferIndex = 0.
11-09 15:02:53.116 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 13, generation 25881602.
11-09 15:02:53.116 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1951, bufferIndex = 0.
11-09 15:02:53.125 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1952, bufferIndex = 0.
11-09 15:02:53.125 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 2, generation 25881602.
11-09 15:02:53.127 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1953, bufferIndex = 0.
11-09 15:02:53.128 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 0, generation 25881602.
11-09 15:02:53.128 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 3, generation 25881602.
11-09 15:02:53.466 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1954, bufferIndex = 0.
11-09 15:02:53.466 25275  9944 D BufferPoolAccessor2.0: bufferpool2 0xb400007d318dcac8 : 5(614400 size) total buffers - 5(614400 size) used buffers - 1954/1959 (recycle/alloc) - 5/1960 (fetch/transfer)
11-09 15:02:53.467 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 14, generation 25881602.
11-09 15:02:53.467 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1955, bufferIndex = 0.
11-09 15:02:53.467 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1956, bufferIndex = 0.
11-09 15:02:53.468 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 12, generation 25881602.
11-09 15:02:53.468 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1957, bufferIndex = 0.
11-09 15:02:53.482 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1958, bufferIndex = 0.
11-09 15:02:53.483 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 4, generation 25881602.
11-09 15:02:53.484 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 8, generation 25881602.
11-09 15:02:53.505 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1959, bufferIndex = 0.
11-09 15:02:53.505 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 6, generation 25881602.
11-09 15:02:53.506 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 7, generation 25881602.
11-09 15:02:53.508 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 9, generation 25881602.
11-09 15:02:53.717 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1960, bufferIndex = 0.
11-09 15:02:53.719 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 1, generation 25881602.
11-09 15:02:53.720 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1961, bufferIndex = 0.
11-09 15:02:53.720 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1962, bufferIndex = 0.
11-09 15:02:53.721 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1963, bufferIndex = 0.
